date,region,product,category,units,revenue
2026-01-05,华东,云启助手专业版,软件,12,3588
2026-01-08,华北,云启助手企业版,软件,2,40000
2026-01-12,华南,云启助手专业版,软件,8,2392
2026-01-15,华东,数据分析插件,插件,20,1980
2026-01-20,华北,云启助手专业版,软件,15,4485
2026-01-25,西南,云启助手企业版,软件,1,18000
2026-02-03,华东,云启助手企业版,软件,3,55000
2026-02-07,华南,数据分析插件,插件,35,3465
2026-02-11,华北,云启助手专业版,软件,9,2691
2026-02-14,华东,云启助手专业版,软件,18,5382
2026-02-19,西南,数据分析插件,插件,12,1188
2026-02-23,华南,云启助手企业版,软件,2,36000
2026-03-02,华北,云启助手企业版,软件,4,72000
2026-03-06,华东,数据分析插件,插件,28,2772
2026-03-10,华南,云启助手专业版,软件,22,6578
2026-03-15,西南,云启助手专业版,软件,6,1794
2026-03-18,华东,云启助手企业版,软件,5,88000
2026-03-22,华北,数据分析插件,插件,15,1485
2026-03-26,华南,数据分析插件,插件,40,3960
2026-03-30,华东,云启助手专业版,软件,14,4186
